Name,Ingredients,Making,Link,Type
#26,"['Grapes Red', '1 part(s) Pernod Absinthe', '1 dash(es) Sweet Vermouth', '1 splash(es) Lime Juice', '1 dash(es) Simple Syrup', 'Orange Juice']","Muddle six or seven grapes. Add ice, lime, syrup and spirits. Shake and strain into an ice-filled highball glass. Top with orange juice, and garnish with fresh grapes.
Marko Knezevic
Grass Restaurant & Lounge
Miami
Muse – Ernest Hemingway
Pernod Absinthe has partnered with noted mixologists around the country to create specialty cocktails inspired by artists and writers who were influenced by absinthe.",https://www.barnonedrinks.com/drinks/-/26-13397.html,Cocktails
$2 Fish,"['1 oz. Vodka Orange Twist', '1 oz. Tequila', '1/2 oz. Grenadine', 'Tang Drink Mix']",Combine vodka and tequilla in a highball glass. Fill to a half inch from top with tang. Swirl grenadine.,https://www.barnonedrinks.com/drinks/-/2-fish-9946.html,Cocktails
'57 Chevy,"['1 oz. Southern Comfort', '1 oz. Crown Royal', '1 oz. Amaretto', 'Pineapple Juice', 'Orange Juice', '1 splash(es) Grenadine']",Fill a highball glass with ice and pour in the liqueurs. Fill the rest of the glass with equal parts of the juices and top off with a splash of grenadine. Cover the glass with a shaker and shake well. Remove shaker from glass and serve.,https://www.barnonedrinks.com/drinks/-/57-chevy-8699.html,Cocktails
'57 Chevy #1,"['1 oz. Amaretto', '1 oz. Southern Comfort', '1 oz. Peach Schnapps', '1 splash(es) Cranberry Juice', '1 splash(es) Pineapple Juice', '1 splash(es) Orange Juice', 'dash(es) Grenadine']",Mix over ice in a hurricane glass. No girl can turn this one down.,https://www.barnonedrinks.com/drinks/-/57-chevy-1-1.html,Cocktails
'57 Chevy #2,"['1 1/2 oz. Southern Comfort', '1 1/2 oz. Grand Marnier', '1 1/2 oz. Vodka', 'Pineapple Juice']",Combine in a highball glass and top with pineapple juice.,https://www.barnonedrinks.com/drinks/-/57-chevy-2-2.html,Cocktails
'Blou' Piniella,"['3/4 oz. Stolichnaya ( Stoli ) Raspberry Vodka', '3/4 oz. Stolichnaya ( Stoli ) Vodka', '1/2 oz. Triple Sec', '1/2 oz. Blue Curacao', '1 splash(es) Sweet and Sour Mix', '7-Up']",Pour liquors over ice in a pint glass. Add a splash of sweet and sour and top off with 7-Up.,https://www.barnonedrinks.com/drinks/-/blou-piniella-7362.html,Cocktails
006,"['2 oz. Smirnoff Orange Twist Vodka', '3 oz. Smirnoff Ice', '3 oz. Orange Juice']",Pour all ingredients in a glass full of ice.,https://www.barnonedrinks.com/drinks/-/006-10077.html,Cocktails
007,"['2 oz. Stolichnaya ( Stoli ) Orange Ohranj Vodka', 'Sprite', 'Orange Juice']",Pour Vodka into a tall glass over ice. Fill with Sprite and splash the orange juice for color and flavor. Stir and serve.,https://www.barnonedrinks.com/drinks/-/007-7879.html,Cocktails
100% Extascy,"['1 oz. Vodka', '1 oz. Baileys Irish Cream']",Mix with lots of ice.,https://www.barnonedrinks.com/drinks/-/100-extascy-5.html,Cocktails
101,"['1 oz. Ice 101', '12 oz. Sprite']",Mix in a highball glass.,https://www.barnonedrinks.com/drinks/-/101-5992.html,Cocktails
104 Per Cent,"['1 oz. Apricot Brandy', '1/2 oz. Dekuyper Razzmatazz', '1/2 oz. Butterscotch Schnapps', 'Sour Mix']",Mix with ice and serve in a cocktail glass. Top off with sour mix.,https://www.barnonedrinks.com/drinks/-/104-per-cent-6.html,Cocktails
117 Cherry,"['1 oz. Banana Liqueur', '1 1/2 oz. Rum', 'Orange Juice', '1 splash(es) Grenadine']",Pour Banana liquer and rum over ice in an 8 oz. glass. Fill the glass with orange juice. Add a splash of grenadine and stir for a wonderful taste and color.,https://www.barnonedrinks.com/drinks/-/117-cherry-11156.html,Cocktails
118 Brown,"['2 oz. Chocolate Milk', '1 oz. Sprite', '1 oz. Everclear']",Mix with ice in a highball glass.,https://www.barnonedrinks.com/drinks/-/118-brown-11893.html,Cocktails
170,"['Champagne', 'Cognac']",Foundin the memoirs of Gen. George S. Patton Jr.. Mix half and half in a Champagne glass. It was named after a German artillery piece.,https://www.barnonedrinks.com/drinks/-/170-10283.html,Cocktails
1st Degree Burn,"[""1 1/2 oz. Dr. McGillicuddy's Fireball"", 'Cranberry Juice']",Fill a highball glass with ice. Add the Fireball and fill with Cranberry juice.,https://www.barnonedrinks.com/drinks/-/1st-degree-burn-11272.html,Cocktails
2 Kumquats,"['3/4 oz. Honey Syrup', '2 Kumquat', '2 sprig(s) Sage', '1/2 oz. Lime Juice', '2 oz. Gin', '1 oz. Passion Fruit Tea']","Muddle the first four ingredients then add gin, tea and ice, shake and double strain with a hawthorn and then with a chinois strainer. Pour into a highball glass over ice. Garnish with a kumquat floret.
Times have changed and so have tastes. This original cocktail satisfies any palate and its combination of natural ingredients makes it irresistible in any season",https://www.barnonedrinks.com/drinks/-/2-kumquats-13781.html,Cocktails
276 St. George,"['3/4 oz. Jim Beam Bourbon Whiskey', '1/2 oz. Southern Comfort', '1/4 oz. Mandrin Liqueur', '2 oz. Sweet and Sour Mix', '1 splash(es) Grenadine']",Shake with ice and strain into a cocktail glass. Shoot it down.,https://www.barnonedrinks.com/drinks/-/276-st-george-9.html,Cocktails
2nd Period,"['1 oz. Kahlua', '1 oz. Milk', '1 oz. Irish Cream']",Mix in a highball glass over ice.,https://www.barnonedrinks.com/drinks/-/2nd-period-7901.html,Cocktails
2Sweet4u2Nv,"['5 oz. Vodka', '5 oz. Martini and Rossi Dry Vermouth', '4 oz. Gin', ""3 oz. Jack Daniel's Whiskey"", '3 oz. Southern Comfort', '1 oz. Galliano', '1/2 oz. Grenadine']",Shake over ice and add a cherry on top.,https://www.barnonedrinks.com/drinks/-/2sweet4u2nv-11.html,Cocktails
3 G,"['Ricard', ""1 1/2 oz. G'Vine Floraison Gin"", '1 oz. St-Germain Elderflower Liqueur', '1/2 oz. Domaine de Canton Ginger Liqueur']","Rinse the glass with Ricard. Put all the ingredients in a shaker, add ice, shake and strain into a martini glass. Garnish with pom seeds and a dill sprig.",https://www.barnonedrinks.com/drinks/-/3-g-13355.html,Cocktails
38 Degrees,"['1 oz. Midori', '1 oz. White Creme de Cacao', '1/2 oz. Mango Liqueur', '2 1/2 oz. Pineapple Juice', '1 oz. Cream']",Shake with lots of ice and strain into a cocktail glass.,https://www.barnonedrinks.com/drinks/-/38-degrees-6311.html,Cocktails
4 Copas Organic Agave Margarita,"['1 1/2 oz. 4 Copas Blanco', '1 1/2 oz. Lime Juice Organic', '1 oz. 4 Copas Organic Agave Nectar']","In a mixing glass add all ingredients, shake and strain over fresh ice into a margarita glass. Garnish with a lime wheel.",https://www.barnonedrinks.com/drinks/-/4-copas-organic-agave-margarita-12862.html,Cocktails
40 Volume Lemonade,"['1 1/2 oz. Bacardi Limon', '1 oz. Amaretto', '1 oz. Sour Apple Schnapps', '2 1/2 oz. Sour Mix', '2 1/2 oz. 7-Up', '1 tbsp. Sugar']","Muddle the Bacardi Limon, the amaretto and the sour apple. Add 3 to 5 lemon wedges and 1 or 2 tbsp. of sugar. Muddle well without ice. Add the sour mix and the 7-Up. Shake and strain into a 16oz. glass. Garnish with a slice of lemon and a cherry.",https://www.barnonedrinks.com/drinks/-/40-volume-lemonade-5635.html,Cocktails
420,"['1 oz. Jagermeister', '1 oz. Apple Pucker', '1 oz. Peach Schnapps', '1 oz. 151 Proof Rum', 'Cranberry Juice', 'Pineapple Juice', 'Orange Juice', 'Sour Mix', '7-Up']","Pour into a shaker with equal parts of the juice, sour mix and 7-Up. Shake and serve in a tall glass over ice.",https://www.barnonedrinks.com/drinks/-/420-8657.html,Cocktails
420 By Annie,"['1/2 oz. Southern Comfort', '1/2 oz. Amaretto', '1/2 oz. Midori', '1/2 oz. Peach', '7-Up', 'dash(es) Pineapple Juice', 'dash(es) Cola']",Pour all the ingredients (except cola) in a shaker with ice. Shake once and pour in a highball glass Add a dash of cola and do not add any garnish.,https://www.barnonedrinks.com/drinks/-/420-by-annie-15.html,Cocktails
501 Blue,"['1 oz. Blueberry Schnapps', '1 oz. Vodka', '1 oz. Blue Curacao', 'Sour Mix', 'dash(es) 7-Up']",Mix all the ingredients (except for the 7-Up) in a shaker with ice. Pour into a hurricane glass and top off with 7-Up. This is a Penn State University specialty.,https://www.barnonedrinks.com/drinks/-/501-blue-7690.html,Cocktails
501 Blues,"['1 oz. DeKuyper Bluesberry Schnapps', '1 oz. Blue Curacao', '1 splash(es) Sour Mix', 'Sprite']",Mix in a highball glass and fill with sprite.,https://www.barnonedrinks.com/drinks/-/501-blues-8237.html,Cocktails
502,"['1/2 oz. Wildberry Schnapps', '1/2 oz. Peach Schnapps', '1/2 oz. 151 Proof Rum', '1 oz. Cranberry Juice', '1 oz. Pineapple Juice', '1 splash(es) 7-Up']",Shake with ice and strain over ice in a small rocks glass.,https://www.barnonedrinks.com/drinks/-/502-12061.html,Cocktails
57 Chevy #3,"['1 1/4 oz. Southern Comfort', '1 1/4 oz. Crown Royal', '3/4 oz. Amaretto', 'Pineapple Juice', 'Cranberry Juice', '1 splash(es) Lime Soda']",Fill a highball glass with ice. Top with equal part of juice and the splash of lime soda. Cover with a shaker and shake. Garnish with an orange,https://www.barnonedrinks.com/drinks/-/57-chevy-3-9477.html,Cocktails
57 T-Bird with Hawaiian Plates,"['3/4 oz. Grand Marnier', '3/4 oz. Stolichnaya ( Stoli ) Vodka', '3/4 oz. Amaretto', '4 oz. Pineapple Juice', '4 oz. Orange Juice']",Combine over ice cubes into a highball glass.,https://www.barnonedrinks.com/drinks/-/57-t-bird-with-hawaiian-plates-6848.html,Cocktails
60 Hillcrest,"['1 oz. Bacardi White Rum', '1 oz. Beefeater Dry Gin', 'Orange Juice', 'Sprite']",Serve over ice with equal parts of orange juice and Sprite.,https://www.barnonedrinks.com/drinks/-/60-hillcrest-10888.html,Cocktails
69er,"['1 oz. Bacardi White Rum', '1 oz. DeKuyper Peachtree Schnapps', '1 oz. Coca Cola']",Build in a rocks glass.,https://www.barnonedrinks.com/drinks/-/69er-19.html,Cocktails
6:30 Wake-up Call,"['4 oz. Malibu Rum', '1 oz. Bacardi Gold', '5 oz. Orange Juice (Or pineapple juice)']",Combine Malibu and juice over ice in a collins glass and top with Bacardi.,https://www.barnonedrinks.com/drinks/-/630-wake-up-call-6464.html,Cocktails
7 and Ginger,"[""1 oz. Seagram's 7 Crown"", 'Ginger Ale']",Pour over ice and fill with ginger ale.,https://www.barnonedrinks.com/drinks/-/7-and-ginger-10890.html,Cocktails
7 Midori 3,"['1 oz. Midori', '1 oz. Triple Sec', '8 oz. Lemon Lime Soda']","In a tall glass with ice, pour Midori and Triple Sec. Pour Lemon/Lime soda last, and muddle ingredients. Excellent for cooling off from the hot summer sun.",https://www.barnonedrinks.com/drinks/-/7-midori-3-21.html,Cocktails
7-Up Beer,"['12 oz. Beer', '2 oz. 7-Up (Or Cherry 7-Up)']",Combine in a tall glass.,https://www.barnonedrinks.com/drinks/-/7-up-beer-5689.html,Cocktails
710 V&P's,"['2 oz. Vodka', '6 oz. Pink Lemonade', '1 oz. Sprite']",Combine over ice in a highball glass and enjoy.,https://www.barnonedrinks.com/drinks/-/710-vps-7410.html,Cocktails
727 #2,"['1 oz. Vodka', '1 oz. Grand Marnier', '1 oz. Baileys Irish Cream', '1 oz. Kahlua']",Mix with ice in a collins glass.,https://www.barnonedrinks.com/drinks/-/727-2-23.html,Cocktails
7th Inning Stretch,"[""1 oz. Gibson's Finest 12 Year Old Canadian Whisky"", '1/2 oz. Amaretto', '4 oz. Lemonade']",Build over ice in a tall glass. Garnish with an orange wheel.,https://www.barnonedrinks.com/drinks/-/7th-inning-stretch-13777.html,Cocktails
901 AM,"['2 oz. 901 Silver Tequila', '4 oz. Orange Juice', '1 splash(es) Grenadine']",Serve over ice in a highball glass and garnish with a lime wheel.,https://www.barnonedrinks.com/drinks/-/901-am-13700.html,Cocktails
901 and Nectar,"['1 1/2 oz. 901 Silver Tequila', '1 oz. Honey Syrup *see below', '1/2 oz. Orange Juice', '3/4 oz. Lime Juice', ""1/2 oz. Combier Liqueur d'Orange""]","Dip the rim in honey and then in salt. Pour all the ingredients in shaker, add ice, shake and pour into margarita glass. Garnish with a twist of orange.
Honey Syrup Process:
6 oz of Honey Blossom
2 oz of hot water
Stir and make sure that the cocktail is well integrated and then let it cool and use.",https://www.barnonedrinks.com/drinks/-/901-and-nectar-13696.html,Cocktails
901 Baja Panties,"['2 1/2 oz. 901 Silver Tequila', '3 oz. Apple Cider (frozen in cubes)', '1/2 oz. Domaine de Canton Ginger Liqueur', '1/2 oz. Lime Juice', '1 pinch(es) Salt', '1 pinch(es) Cinnamon']","Freeze apple cider in ice cube trays. Mix other ingredients and shake with 3 1 oz frozen apple cider cubes until cubes dissolve. Served in chilled glass.
Courtesy of Nils Noren and Dave Arnold - The French Culinary Institute - NYC",https://www.barnonedrinks.com/drinks/-/901-baja-panties-14224.html,Cocktails
901 Bloody Maria,"['2 oz. 901 Silver Tequila', '10 oz. Bloody Maria Mix']","Fill four 14 oz glasses with ice and pour 2 oz of 901 Silver Tequila in each glass. Pour bloody mix into each glass. Stir and garnish with a lime wheel and a celery stalk. Serve a raw oyster with each drink (optional).
Courtesy of Ed McFarland - Ed’s Lobster Bar - NYC",https://www.barnonedrinks.com/drinks/-/901-bloody-maria-14225.html,Cocktails
901 Bloody Rita,"['2 oz. 901 Silver Tequila', '1 oz. Lime Juice', '1 oz. Orange Juice (Blood Orange)', '3/4 oz. Agave Nectar']","In a tall rocks glass, pour all ingredients over ice. Shake. Strain into a martini glass and garnish with a blood orange slice.
Courtesy of Alain Allegretti – Allegretti, NYC",https://www.barnonedrinks.com/drinks/-/901-bloody-rita-14284.html,Cocktails
901 Chili Flake Margarita,"['2 oz. 901 Silver Tequila', '2 oz. Chili Syrup', '2 oz. Lime Juice']","Put cube ice in a shaker. Add 2 oz 901 Silver Tequila, 2 oz chili syrup and 2 oz lime juice. Cover and shake well. Strain into a martini glass filled with crushed ice. Repeat 3 more times.
Courtesy of Ed McFarland - Ed’s Lobster Bar - NYC",https://www.barnonedrinks.com/drinks/-/901-chili-flake-margarita-14226.html,Cocktails
901 Cider with 901 Caramel Apple,"['10 oz. 901 Silver Tequila', '36 oz. Apple Cider', '4 slice(s) 901 Caramel Apples']","Pour tequila over full pitcher of ice. Add apple cider and mix well. Pour into 12 oz glasses with the ice. Do not strain. Garnish each glass with 1 slice of caramel apple and drizzle a tsp. of caramel sauce. Serves 4.
Courtesy of Ed McFarland - Ed’s Lobster Bar - NYC",https://www.barnonedrinks.com/drinks/-/901-cider-with-901-caramel-apple-14227.html,Cocktails
901 Mia Margarita,"['3 oz. 901 Silver Tequila', 'Passion Fruit (puree)', 'Lime Juice', '1 oz. Honey (cinnamon flavored)']","Shake with ice and strain into a margarita glass filled with ice. Garnish with a pinch of Shichimi spice.
Nobu Las Vegas has created the Mia Margarita.",https://www.barnonedrinks.com/drinks/-/901-mia-margarita-13945.html,Cocktails
901 PM,"['2 oz. 901 Silver Tequila', '2 oz. Grapefruit Juice', '1/2 oz. Lime Juice', '2 oz. Club Soda']",Serve over ice in a highball glass and garnish with a lime wheel.,https://www.barnonedrinks.com/drinks/-/901-pm-13701.html,Cocktails
901-derful,"['2 oz. 901 Silver Tequila', '7 Mint Leaves', '8 Raspberries', '1/2 oz. Partida Agave Nectar', '1 Lime', '1/4 oz. Orange Juice']","Muddle the mint and raspberries in a mixing glass. Add agave nectar using a citrus squeezer. Squeeze in the juice of one medium lime. Add 2 oz 901 Silver Tequila, and a 1/2 cup of ice. Shake vigorously. Fill a 14 oz pilsner glass with ice. Strain drink into glass with ice. Top with 1/4 oz fresh squeezed OJ. Garnish with a lime wheel and a sprig of mint.
The award winning 901-derful was created by Southern Hospitality Mixologist.",https://www.barnonedrinks.com/drinks/-/901-derful-13946.html,Cocktails
99 Banana Daquari,"['2 oz. 99 Bananas Schnapps', '2 oz. Sour Mix', '1 tbsp. Sugar', '1/2 Banana Sliced']","Combine 99 Bananas, sour mix, sugar and the banana in a blender. Blend well and add ice to get desired consistancy.",https://www.barnonedrinks.com/drinks/-/99-banana-daquari-9342.html,Cocktails
99 Bananas And Red Bull,"['1 oz. 99 Bananas Schnapps', '1 can(s) Red Bull Energy Drink']",Add the 99 Bananas to the Red Bull over ice.,https://www.barnonedrinks.com/drinks/-/99-bananas-and-red-bull-12394.html,Cocktails
99 Bananas Mix,"['1/4 cup(s) 99 Bananas Schnapps', '16 oz. Mountain Dew (Or 7-Up or Sprite)']",Buy a 20 oz. bottle of any of the above and drink or pour out until it is down until about 16 oz. Then pour in 99 Bananas and put the bottle cap on the Mountain Dew or whatever. Gently turn the bottle upside down a few times and enjoy.,https://www.barnonedrinks.com/drinks/-/99-bananas-mix-7430.html,Cocktails
99 Fuzzy,"['1 oz. 99 Bananas Schnapps', '1 oz. Triple Sec', '4 oz. Orange Juice', '1 splash(es) Cranberry Juice']",Shake the alcohol and the orange juice with ice and strain over ice cubes in a highball glass. Add a splash of cranberry juice.,https://www.barnonedrinks.com/drinks/-/99-fuzzy-7210.html,Cocktails
99 Tropical,"['1 oz. 99 Bananas Schnapps', '1 oz. Stolichnaya ( Stoli ) Raspberry Vodka', '1 oz. Malibu Rum', 'Orange Juice']",Shake the alcohol with ice and strain over ice cubes into a highball glass. Top with orange juice.,https://www.barnonedrinks.com/drinks/-/99-tropical-7209.html,Cocktails
‘Ti Punch,"['2 oz. Rhum Clement Premier Canne White Rum', '1/2 oz. Sugar Cane Syrup', '1 piece(s) Lime (Disc, 50/50 ratio of pulp to zest.']","In a rocks or old-fashioned glass, squeeze the lime slice and pour the Sugar Syrup over the lime, which has been cut from the side of the fruit so that the aromatic oils from the peel will flavor the drink. Add the rum and use a Bois Lele (i.e. pronged wooden swizzle stick usually plucked from a tree native to Martinique) or a simple bar spoon to stir the drink until the syrup is dissolved; add a tablespoon of crushed ice and briefly stir again to chill the drink.
The History of The Little Punch that Could…From Rhum Clément
‘Ti Punch (pronounced Teee Pauncchh!) is without debate the “national” cocktail of Martinique and Guadeloupe. ""Ti"" is the short Créole version for ""petite” however there is nothing small about this drink. It is a simple drink to make as it has only a few ingredients (Rhum Agricole, lime and sugarcane syrup or raw sugar) but it must be made precisely without cutting corners or it is not an authentic ‘Ti Punch. In this potent tippler, the dry and grassy vegetal flavors and grilled fruit aromas from Martinique’s illustrious Rhum Agricole are elegantly showcased in the cocktail. ‘Ti Punch is a cousin to the Daiquiri or the Caipirinha, but please don’t confuse these drinks. ‘Ti Punch is like no other rum cocktail. The recipe for ‘Ti Punch varies based on where you are in French West Indies and even which home you are visiting. The Clément family has a longstanding and fundamental tradition of making ‘Ti Punch for all guests who visit Habitation Clément in Martinique or at any one of their fabulous events around the world. As Rhum Clément is now available in all 50 US states, it is the ideal time to enlighten the American imbiber to the subtle complexities of the ‘Ti Punch.
Wherever this cocktail is made, and more specifically, how it is created aside; what goes unchallenged is that this cocktail can only be made properly with a true Rhum Agricole such as Rhum Clément. If you dare substitute industrial rum (which is made from Molasses – a by-product of processed sugarcane rather than from freshly-pressed sugarcane juice) or a Cachaca (which is made from any variety of sugarcane, has a sharper more industrial flavor and can contain additives such as corn meal, corn flour or rice bran), you might as well be drinking fortified lime/sugar water. As Rhum Agricole is the primary component to the drink, its classic dry and grassy flavor profile is what forms the cocktail’s base, creating the unparalleled flavor profile of the drink. The sugarcane syrup (which can be prepared in advance, or can be substituted with a high-quality sugar-in-the-raw) and the squeezed lime disk are play as complimentary ingredient to enhance the fine characters of Clément’s Rhum Agricole.
“I have been making ‘Ti Punch for my mother (originally from Martinique) since I was about 6 years old,” says Benjamin Melin-Jones, a fourth generation member of the Clément family as well as the Managing Director of Rhum Clément in the US. “It was almost a ritual when she came home from work and took a 20 minute rest before she prepared the evening’s meal. However I will never forget when I made a ‘Ti Punch in Martinique for my uncle and he almost spit it out on my shoes. My recipe had not varied from the one I always made. He asked for my method of preparation and I responded with fresh cut lime, rhum blanc, syrup and crushed ice. He exclaimed: ‘Ice! Were you raised in Guadeloupe?’ This is the perfect example of how the debate over how to create a ‘Ti Punch ignites passionate response even amongst family.”
As everyone has their own preference of how to enjoy ‘Ti Punch, most restaurants in Martinique, upon order of the cocktail, will deliver to the table a bottle of Rhum Blanc or Rhum Vieux (upon request), a small bowl of cut limes, a tray of sugar in the raw and/or a small bottle of Sirop de Canne to allow each patron to make their own according to personal preference. More and more restaurants will also accompany the ‘Ti Punch tray with a small bowl of ice cubes as it is becoming more common for people to have one ice cube in the drink.
When made properly, the drink brings to life the natural flavors and aromas showcasing the terroir of Rhum Agricole. The lime’s tartness brings out the vibrant sugarcane character of the Rhum Agricole, the citrus oils play harmoniously with the dry grassy body of the spirit and the sweet cane syrup awakens the grilled tropical fruit flavors and works to tie it all together. This cocktail is a joy on a hot day and ideal to serve at parties with rum loving friends. When catering at home, a traditional way to serve ‘Ti Punch to present in a way as: “chacun prépare sa propre mort” (each prepares their own death). On a serving tray with a bottle of Rhum Agricole, place a small bowl of cut limes, a bottle of sugarcane syrup (can also use a spiced simple syrup at home as illustrated in our recipe above) and a small dish of ice cubes. As the day turns into night, Ti Punch is excellent when made with aged rhum. The correct pronunciation, of course, is essential. Just like the islanders on Martinique, say it loud and say it in French, “Teee Pauncchh!”
Enjoy ‘Ti Punch for breakfast, lunch, mid afternoon, as an aperitif before dinner or with a cigar, but always enjoy responsibly. While there are several versions of ‘Ti Punch, this is the official Rhum Clément ‘Ti Punch.",https://www.barnonedrinks.com/drinks/-/ti-punch-13968.html,Cocktails
‘Tis the Singin’ Sangria,"['1 cup(s) Cabo Wabo Blanco Tequila', '1 bottle(s) White Wine', '1/2 can(s) Cranberry Juice (frozen concentrate)', '1 cup(s) Raspberries', '1/2 cup(s) Orange Juice', '1/4 cup(s) Lime Juice', '1/4 cup(s) Sugar', '1/4 cup(s) Orange Liqueur', '2 Lemons (cut into slices for garnish)']","Add the white wine, tequila, orange liqueur, cranberry concentrate, orange juice and lime juice to a large glass pitcher or bowl. Stir in the sugar until dissolved. Place raspberries in a small bowl and mash with spoon. Stir in the mashed raspberries. Refrigerate overnight, to let the flavors soak into the Sangria. Serve over ice. Serves 4.",https://www.barnonedrinks.com/drinks/-/tis-the-singin-sangria-14238.html,Cocktails
A and J Smoothie,"['3 oz. Baileys Irish Cream', '1 oz. Vodka', '3 scoop(s) Ice Cream Chocolate']",Blend Ice Cream until smooth. Add the vodka and the Baileys while blending. Pour into a large wine glass with whip cream and grated choclate as garnishes.,https://www.barnonedrinks.com/drinks/a/a-and-j-smoothie-11926.html,Cocktails
A Bedrock #1,"['1 oz. Sambuca', '1 oz. Kahlua', 'Milk']","Pour the Sambuca and the Kahlua in a cocktail glass, add 3 or 4 ice cubes and top up with milk.",https://www.barnonedrinks.com/drinks/a/a-bedrock-1-26.html,Cocktails
A Brisk Walk Through The Redlight District,"['3 oz. Crown Royal', '5 oz. Iced Tea (Like Lipton Brisk or Cool from Nestea)', 'dash(es) Vermouth (Extra dry)']",Shake ingredients with ice and strain into a cocktail glass. Garnish with a lemon slice.,https://www.barnonedrinks.com/drinks/a/a-brisk-walk-through-the-redlight-district-7773.html,Cocktails
A Day At The Beach,"['1 oz. Coconut Rum', '1/2 oz. Amaretto', '3 oz. Orange Juice', '1/2 oz. Grenadine']","Shake rum, Amaretto, and orange juice with ice and pour into a highball glass over ice. Top with grenadine and garnish with a pineapple wedge and a strawberry.",https://www.barnonedrinks.com/drinks/a/a-day-at-the-beach-28.html,Cocktails
A DeMink,"['2 oz. Vodka', '1 oz. Baileys Irish Cream', '2 oz. Coca Cola']",Chill ingredients. Pour over ice in a cocktail glass.,https://www.barnonedrinks.com/drinks/a/a-demink-10666.html,Cocktails
A Furlong Too Late,"['2 oz. White Rum', '4 oz. Ginger Beer']",Build in a highball glass and stir. Garnish with a lemon twist.,https://www.barnonedrinks.com/drinks/a/a-furlong-too-late-29.html,Cocktails
A Little Piece Of Heaven,"['1 1/2 oz. Malibu Rum', '1/2 oz. Peach Schnapps', '2 oz. Orange Juice', '2 oz. Pineapple Juice', '3 oz. Cranberry Juice j']",Mix all ingredients over ice. Garnish with a slice of orange and a speared cherry.,https://www.barnonedrinks.com/drinks/a/a-little-piece-of-heaven-11254.html,Cocktails
A Muthaphukkin Gud Drink,"['1 1/2 oz. Malibu Rum', '1/2 oz. Galliano', '1/2 oz. Cream', 'Orange Juice', 'Pineapple Juice']","Add malibu rum, galiano and cream to cocktail glass over ice. Fill rest of glass with orange and pineapple juices. Stir.",https://www.barnonedrinks.com/drinks/a/a-muthaphukkin-gud-drink-11122.html,Cocktails
A Night In Old Mandalay,"['1 oz. White Rum', '1 oz. Anejo Rum', '1 oz. Orange Juice', '1/2 oz. Lemon Juice', '3 oz. Ginger Ale']","Shake the white rum, Anejo rum, orange and lemon juice with ice. Strain into a highball glass almost filled with ice cubes. Top with the Ginger Ale and garnish with a lemon twist.",https://www.barnonedrinks.com/drinks/a/a-night-in-old-mandalay-30.html,Cocktails
A Shocker,"['2 oz. Vodka', 'Sweet and Sour Mix', '1 splash(es) Raspberry Juice']",Combine over ice in a lowball glass.,https://www.barnonedrinks.com/drinks/a/a-shocker-7045.html,Cocktails
A Slow Comfortable Screw Up Against The Wall,"['1 oz. Sloe Gin', '1 oz. Southern Comfort', '1 oz. Vodka', '1 oz. Galliano', 'Orange Juice']","Pour into a highball glass and fill with orange juice and mix well, enjoy!",https://www.barnonedrinks.com/drinks/a/a-slow-comfortable-screw-up-against-the-wall-32.html,Cocktails
A Tinker Tall,"['1 1/4 oz. Irish Mist', '3 oz. Ginger Ale', '3 oz. Club Soda']",Combine ingredients with lots of ice in a tall glass.,https://www.barnonedrinks.com/drinks/a/a-tinker-tall-11470.html,Cocktails
A Velvet Elvis,"['1 oz. Chambord Raspberry Liqueur', ""1 oz. Jack Daniel's Whiskey"", 'Sweet and Sour Mix', '1 dash(es) Sprite']",Shake well and pour into a tall glass. Garnish with a cherry or an orange slice. (optional) It is very cool and refreshing for summertime sipping!!!!!,https://www.barnonedrinks.com/drinks/a/a-velvet-elvis-13695.html,Cocktails
A Week At The Beach,"['1 oz. Peach Schnapps', '1 oz. Apple Schnapps', '1 oz. Vodka', '1 oz. Cranberry Juice', '1 oz. Orange Juice']",Mix and serve with ice.,https://www.barnonedrinks.com/drinks/a/a-week-at-the-beach-9708.html,Cocktails
A-Bomb #1,"['1/2 oz. Vodka', '1/2 oz. Peach Schnapps', '1/2 oz. Triple Sec', '1/4 oz. Johnnie Walker Red Label Scotch', '1/4 oz. Blue Curacao', '8 oz. Soda (Preferably Active Energy Drink)']",Serve in a long glass with little ice.,https://www.barnonedrinks.com/drinks/a/a-bomb-1-7439.html,Cocktails
A-Bomb #2,"['1/2 oz. Vodka', '1/2 oz. Coffee Liqueur', '1/2 oz. Irish Cream', '1/2 oz. Orange Liqueur']","Shake with ice. Strain, and serve in a highball glass.",https://www.barnonedrinks.com/drinks/a/a-bomb-2-11471.html,Cocktails
A. J.,"['1 1/2 oz. Applejack (Apple Brandy)', '1 oz. Grapefruit Juice']",Shake ingredients with ice and strain into a cocktail glass.,https://www.barnonedrinks.com/drinks/a/a-j-33.html,Cocktails
A.Bc,"['1 oz. Absinthe', '1 oz. Blue Curacao', '2 oz. Lemonade']",Pour into a highball glass filled with crushed ice.,https://www.barnonedrinks.com/drinks/a/abc-8810.html,Cocktails
A1,"['1 oz. Gin', '1/2 oz. Grand Marnier', 'dash(es) Lemon Juice', 'dash(es) Grenadine']",Shake with ice and strain into a cocktail glass.,https://www.barnonedrinks.com/drinks/a/a1-34.html,Cocktails
